taxonID	datasetID	parentNameUsageID	acceptedNameUsageID	originalNameUsageID	scientificName	scientificNameAuthorship	canonicalName	genericName	specificEpithet	infraspecificEpithet	taxonRank	nameAccordingTo	namePublishedIn	taxonomicStatus	nomenclaturalStatus	taxonRemarks	kingdom	phylum	class	order	family	genus
1344532	7ddf754f-d193-4cc9-b351-99906754a03b	1344522		11006396	Tetragonula hirashimai (Sakagami, 1978)	(Sakagami, 1978)	Tetragonula hirashimai	Tetragonula	hirashimai		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Tetragonula
1339284	7ddf754f-d193-4cc9-b351-99906754a03b	1339261		10975832	Eufriesea vidua (Moure, 1976)	(Moure, 1976)	Eufriesea vidua	Eufriesea	vidua		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Eufriesea
10898232	7ddf754f-d193-4cc9-b351-99906754a03b	1339261		10942823	Eufriesea fuscatra (Moure, 1999)	(Moure, 1999)	Eufriesea fuscatra	Eufriesea	fuscatra		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Eufriesea
1344523	7ddf754f-d193-4cc9-b351-99906754a03b	1344522		10974126	Tetragonula melina (Gribodo, 1893)	(Gribodo, 1893)	Tetragonula melina	Tetragonula	melina		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Tetragonula
1339273	7ddf754f-d193-4cc9-b351-99906754a03b	1339261		11005374	Eufriesea ornata (Mocsáry, 1896)	(Mocsáry, 1896)	Eufriesea ornata	Eufriesea	ornata		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Eufriesea
1339310	7ddf754f-d193-4cc9-b351-99906754a03b	1339261		10911818	Eufriesea simillima (Moure & Michener, 1965)	(Moure & Michener, 1965)	Eufriesea simillima	Eufriesea	simillima		species		Gonzalez, Victor H., Griswold, Terry, Simoes, Marianna (2017): On the identity of the adventive species of Eufriesea Cockerell in the USA: systematics and potential distribution of the coerulescens species group (Hymenoptera, Apidae). Journal of Hymenoptera Research 55: 55-102, DOI: http://dx.doi.org/10.3897/jhr.55.12209, URL: http://dx.doi.org/10.3897/jhr.55.12209	accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Eufriesea
1339324	7ddf754f-d193-4cc9-b351-99906754a03b	1339261		10958962	Eufriesea formosa (Mocsáry, 1908)	(Mocsáry, 1908)	Eufriesea formosa	Eufriesea	formosa		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Eufriesea
1339269	7ddf754f-d193-4cc9-b351-99906754a03b	1339261		9432147	Eufriesea mussitans (Fabricius, 1787)	(Fabricius, 1787)	Eufriesea mussitans	Eufriesea	mussitans		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Eufriesea
1339279	7ddf754f-d193-4cc9-b351-99906754a03b	1339261		10937260	Eufriesea mexicana (Mocsáry, 1897)	(Mocsáry, 1897)	Eufriesea mexicana	Eufriesea	mexicana		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Eufriesea
1339270	7ddf754f-d193-4cc9-b351-99906754a03b	1339261		10955737	Eufriesea theresiae (Mocsáry, 1908)	(Mocsáry, 1908)	Eufriesea theresiae	Eufriesea	theresiae		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Eufriesea
1339316	7ddf754f-d193-4cc9-b351-99906754a03b	1339261		10927882	Eufriesea pretiosa (Friese, 1903)	(Friese, 1903)	Eufriesea pretiosa	Eufriesea	pretiosa		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Eufriesea
10820418	7ddf754f-d193-4cc9-b351-99906754a03b	1345648		1340772	Scaura coccidophila (Camargo & Pedro, 2002)	(Camargo & Pedro, 2002)	Scaura coccidophila	Scaura	coccidophila		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Scaura
1339314	7ddf754f-d193-4cc9-b351-99906754a03b	1339261		11007529	Eufriesea velutina (Moure, 1999)	(Moure, 1999)	Eufriesea velutina	Eufriesea	velutina		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Eufriesea
1339285	7ddf754f-d193-4cc9-b351-99906754a03b	1339261		11071841	Eufriesea chrysopyga (Mocsáry, 1898)	(Mocsáry, 1898)	Eufriesea chrysopyga	Eufriesea	chrysopyga		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Eufriesea
1344550	7ddf754f-d193-4cc9-b351-99906754a03b	1344522		11021065	Tetragonula sarawakensis (Schwarz, 1937)	(Schwarz, 1937)	Tetragonula sarawakensis	Tetragonula	sarawakensis		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Tetragonula
